微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
zFEBsugGe,从年轻起我一直自己跟自己谈恋爱，自己哄自己自己宠自己自己爱自己，美得一塌糊涂玩得不亦乐乎，快乐一大把就等着往外散呢。我找男朋友既不是找救星也不是找靠山更不是找包袱，我只是一路在找一个没心没肺叽叽喳喳分享快乐的小伙伴儿，我爱谈天你爱笑。 详情:http://t.cn/zHDXGXO  ,,无,无,无,2013-07-12 16:26,超话,33,35,16
zFBcY3Mcd,婚恋性爱这玩意儿，类似经济学，是一门实用科学，管用不管用，拿到实践中来一练摊儿就露馅儿了，赚钱不赚钱，结婚不结婚，高潮不高潮，有就是有，没有就是没有。不像宗教伦理学，神乎其神，信则灵，不信则不灵，灵与不灵，全在感觉，不在数据! 凭你满嘴跑火车吹牛不上税。  ,,无,无,无,2013-07-12 07:47,微博 weibo.com,3,17,2
zFxVVvUmU,"@沙漠中的城堡 骂我老太婆晒幸福，突然想起上次看到日本老太太一百多岁了写的诗叫""即使98岁我也要谈恋爱""，当时我就给老太太叫好，因为我自信我也有活到98岁那一天，我希望即使98岁也有权利谈恋爱，所以才为她欢呼。看来这位年轻女网友认为自己没有活到我这岁数那一天，所以不希望41岁女人还晒幸福吧!  ",,无,无,无,2013-07-11 23:27,微博 weibo.com,13,8,42
zFmoY9lD1,"有句话""女人的唠叨就是爱""，大替碎嘴女人解围，更告诉男人，女人的碎碎念往往代表爱。其实，女人的碎碎念，往往代表性欲不满! 中年妇女得到异性关注的几率大降，被丈夫忽略的可能却大增，才导致中年妇女病---埋怨唠叨。不是她够爱你，而是你不够爱她造成的，请男人自省，女人自斟吧。  ",,无,无,无,2013-07-10 18:05,微博 weibo.com,13,5,7
zFlQKwI05,最看不上夫妻两个互相拆台互相埋怨互相背叛互相折磨，互不相让还死不离婚的熊样，既然谁都害怕离开谁，就承认对方是你能到手的最佳选择算了，贬低TA，只能说明你眼光不好眼神太差能力不高动力有限，才跟残次品耗在一起了度余生的。没本事的人爱说现任坏话，有本事的人，人家早把黑锅扣在前任头上了。  ,,无,无,无,2013-07-10 16:41,微博 weibo.com,12,35,13
zFlGysl5J,可爱网友问: 毛毛姐，请问你知道或者尝试过什么使胸部丰满些的小窍门吗？或者是让其他人看起来很大的假象哦，期待回复。答: 别的窍门没有，只有一个窍门就是随时随地站有站姿，坐有坐相，挺胸做人。  ,,无,无,无,2013-07-10 16:16,微博 weibo.com,7,5,12
zFljj48hd,我爱上跑步主要是因为跑步这玩意儿没啥场地要求，不必器械准备，不必找人合练，没有时间限制，漫无目的抬腿就走，想什么时候跑就什么时候跑。德国乡下空气质量好，不用白不用，我总觉得早晚有一天全球空气不再适合室外活动，人人都戴面具出行，跑步成为老古董，到那时再搞室内活动不迟。  ,,无,无,无,2013-07-10 15:19,微博 weibo.com,7,4,11
zFlcB0OSX,网友问: 毛毛姐，你的锻炼方式是每天跑步吗？是否还有器械锻炼? 答: 我尝试过各种锻炼方式，器械，游泳，健身操，瑜伽，跳舞，网球....最终坚持下来的只有跑步，其它方式都两分钟热度，没多久就不了了之了。女孩子在锻炼身体上也应像谈恋爱一样不妨多尝试些，找到最喜欢的姿势再忠贞不渝。  ,,无,无,无,2013-07-10 15:02,微博 weibo.com,9,9,12
zFeKNCKgZ,我身高1米63，体重51公斤，一切听起来好像挺合乎标准，但我的问题在于，四肢过分修长纤细，脑袋过于小巧玲珑，导致大部分体重集中在躯干，藏肉丰富体态丰满: 上半身探进唐朝，下半身陷于宋代，好似两支细麻杆，杵着大肥膘，所以我能分别体会胖子和瘦子的感觉，简言之---胖子的心态，瘦子的动态。  ,,无,无,无,2013-07-09 22:37,微博 weibo.com,18,13,29
zF4blcIl8,"网友问: 毛毛姐，你好，想请教一下你说的：""照顾好自己，吃好喝好""。目前很多80后男生活能力都不强，等到小妈老婆包办家务事。女生不理家务或者少理家务，可能会被说没尽到妻子的职责。要比懒的话，一般情况下男人是比女人更懒的。如何来平衡“照顾好自己，吃好喝好”这个度呢？  ",,无,无,无,2013-07-08 19:42,微博 weibo.com,1,6,6
zF45enII4,很多网友来信问避孕事宜，我感觉，恋爱期间无论如何要用避孕套，不光避孕，而且防病。结婚后夫妻二人虽可共同讨论如何避孕这事儿，不过因女方承担风险明显大于男方，还是以女性决定为主，男性协商为辅。但凡涉及生育，女人万不可心慈手软，否则殃及后代，后果你吃不了，男人更不会替你兜底。  ,,无,无,无,2013-07-08 19:27,微博 weibo.com,16,8,3
zEWZMg4Gx,"今天天气温和，早餐在院中吃，突然有只苍蝇飞来，老公说""这只苍蝇真讨厌，总坐到我身上。"" 我一听说""我也总坐到你身上，你怎么不讨厌我?"" 他看我一眼说""它长得又不像你，长成你那样坐到我身上我就不讨厌。"" 小女儿认真说道""可是世界上没有长得像妈妈的苍蝇啊。""  ",,无,无,无,2013-07-08 01:25,微博 weibo.com,9,4,10
zEN1WrJhA,听从自己身体的召唤吧，它往往比你脑子里盘算的小九九要高明得多，因为它是进化上亿年的结果，跟它做对，要靠坐禅敲木鱼儿来维持度日如年的漫漫婚姻长路，不停告诫自己告诫伴侣告诫全世界，平平淡淡就是真。实际上，我们要做的不过是多接几次吻，多交换下体液而已，谁要你咬牙切齿练忍者神功啦!  ,,无,无,无,2013-07-07 00:03,微博 weibo.com,13,15,14
zEMVs0ciU,"读到这个，很有意思""在接吻过程中会发生唾液交换，男性唾液中含有的睾酮，能够传给他的伴侣。日积月累，这种唾液交换能增强女性性欲，使她更加乐于接受性爱。""----很多男性抱怨自己老婆不热情，原因大约在于很多老夫老妻平时对对方身体熟视无睹，从不碰触很少接吻，才导致性到做时方恨冷吧。  ",,无,无,无,2013-07-06 23:47,微博 weibo.com,9,12,7
zEL3z55AV,早春带孩子去湖边喂野鸭，发现公鸭子从来都是让母鸭子先吃，自己在一旁机警守候来回梭寻，直到母鸭子吃完自己才匆忙吃。其实很多时候动物比人类更尊重物种传播规律，雌雄该干嘛就干嘛，不像人，经常自以为是本末倒置，非教育女性在爱情上奉献牺牲，公鸭子又不下蛋，闲着找小蜜吗?  ,,无,无,无,2013-07-06 19:01,微博 weibo.com,16,22,8
zEKX5eX20,网友问:“男人因性而爱，女人因爱而性”这话到底对不对？答: 德语里有句谚语，说爱情是通过鼻子嗅来的。其实爱啊性啊，都是无意识中我们通过鼻子在筛选跟自己基因密码更匹配的人，有利于延续生命。把精神和肉体对立的结局是，晕头转向，没给孩子找个好爸(妈)，一时爽，半世衰。  ,,无,无,无,2013-07-06 18:45,微博 weibo.com,11,20,3
zEJZpF7Tc,"我和老公属于那种一年半载也想不起来吵架的夫妻，不是因为我们没矛盾，而是啥矛盾都禁不住我俩的性要挟，吵到一半就夭折直接改为调情了。有一次，我一生气威胁到""你再惹我，我就含一口滚烫的热茶，再把你的jj含进嘴里，同归于尽!"" 把他都气乐了，还吵个屁呀。  ",,无,无,无,2013-07-06 16:18,微博 weibo.com,7,4,5
zEAXSB3Q5,大二暑假，跟好朋友每人怀揣200块钱，就从天津出发，一路逃票辗转奔波游历到了西双版纳，途经西安，稍一疏忽打了个瞌睡，旅行包被人偷了，洗换衣服没了，还丢了50块钱，全程一套衣服，住10块钱旅社，或在车站囫囵将就...晓行夜宿风餐露宿摸爬滚打，爬华山，观兵马俑，游桂林，探边疆...  ,,无,无,无,2013-07-05 17:20,微博 weibo.com,6,10,22
zEzyEuvRi,"在德国前几年市场上突然出现一种桃，看起来像被压扁了的桃，除了身材走形，味道和外皮和桃子一样，叫山桃(Bergpfirsich)。昨天突然在超市看到被压扁了的油桃，叫山油桃(Bergnektarine)，买回来晒给老公说""你看，不知道什么时候山桃跟油桃有了一腿，混血孩子都这么大了?""  ",,无,无,无,2013-07-05 13:45,微博 weibo.com,0,1,10
zEseI4gg8,一个智慧女人，不会留在一段委屈求全的关系里，即使再爱，也不留恋，因为，只有自己舒展了，才能令男人舒展。委曲求全的女人往往会极大伤害男人的自尊和身心，损害男人的名声和荣誉，女人越委屈越辛苦，越给男人脸上抹黑; 越舒展越无忧，越给男人头上增光。所以，要么爱，要么滚，决不令任何男人难堪!  ,,无,无,无,2013-07-04 19:06,微博 weibo.com,17,31,11
zEr9K6XbU,为什么女人应先把自己弄爽了，才能让男人爽? 这是因为，在性爱中，女人只有先达到高潮，再给男人高潮，才符合女人有满足感，男人有成就感，双双享受到快乐。这程序反过来，女人不先照顾好自己，却急慌慌让男人到高潮，我问问你，接下来你咋办? 女人没满足感，男人就没成就感，俩人都不爽，没怨言才怪?!  ,,无,无,无,2013-07-04 16:21,微博 weibo.com,7,51,10
zEigemkox,"网友问: 为什么坏女人吃香，好女人吃苦? 答: 俩人到你家做客，你问她俩想吃啥，坏女人不客气，直接说想吃面; 好女人懂事，客套说随便。等你端上面来，坏女人兴高采烈说""好吃好吃，你好手艺""; 好女人却愁眉苦脸说""我不爱吃面""，然后撸胳膊挽袖子""我来替你做米饭吧。"" 吃香和吃苦都是自找的呀!  ",,无,无,无,2013-07-03 17:43,微博 weibo.com,30,309,26
zEhTHjjPw,@微博小秘书 女人爱男人，不是要女人对男人好，而是: 1，对自己好---让自己美美的，让他对你蠢蠢欲动; 2，懂他的好---男人渴望女人欣赏，远远大于照顾他。所以你要做的只是照顾好自己，然后欣赏他! 这样他才会因妻子美丽而自豪，因妻子欣赏而自信，俩好合一好，好合百年!  ,,无,无,无,2013-07-03 16:47,专业版微博,51,312,26
zEhDpAUaX,@微博小秘书 我发现我现在只有通过小秘书留言板可以发布微博，那好吧，就只能委屈小秘书留言板了，每次都拉你陪练。  ,,无,无,无,2013-07-03 16:07,专业版微博,4,1,6
zEhAi5e5l,@微博小秘书 我的微博不能发评论不能看评论不能读私信不能发微博，恳请小秘书处理。  ,,无,无,无,2013-07-03 15:59,专业版微博,3,0,8
zEa8b7FAz,男人没女人想得那么自私，恰恰相反，当一个男人爱上一个女人时，会想方设法上窜下跳耍尽活宝，你要做的只是高声大叫告诉世界他最棒; 而不是女人想方设法上窜下跳耍尽活宝，然后让他高声大叫告诉世界你最累! 爱一个人，就给他他最需要的，人家想吃鱼，你非费力去砍熊掌，累死不是自找的吗?  ,,无,无,无,2013-07-02 21:01,微博 weibo.com,15,19,9
zE8zkpMzR,女网友问:如何看待男人为女人花钱这事儿? 答: 不管你赚钱是否比对方多，假如你爱一个男人，就享受他为你花钱; 假如你不爱一个男人，就采取AA制!  ,,无,无,无,2013-07-02 17:02,微博 weibo.com,16,35,26
zE8tqigj7,"读一篇文章""婚姻是责任""，满篇严肃认真语重心长，通过自己这20年的婚姻之路任重道远苦尽甘来，说服读者守护好婚姻这座城池。我却越读越想砸烂他们家那座围城，看他活得那个累，还有脸教别人? 于是问老公""你觉得婚姻是责任吗?"" 他不假思索""当然是责任，每个人都要承担制造快乐的责任。""   ",,无,无,无,2013-07-02 16:48,微博 weibo.com,15,77,3
zDZOXqzOc,"很多年前有一次，我们买了树苗打算在院子里种树，他说种这里，我说种那里，俩人稍有争执，最后妥协，一起挖坑浇水，忙了一下午。转年开春发现树死了，俩人又开始挖坑添土，忙了一下午。我说""你看，咱俩白忙了一顿，啥都没收获。"" 老公说""怎么会是白忙呢，咱俩收获了两个美好的下午呀。""  ",,无,无,无,2013-07-01 18:46,微博 weibo.com,15,5,9
zDYWMhg44,"两个孩子为争一个玩具吵架，老公劝架:""吵架解决不了问题，你看我和妈妈就从来不吵架，我们喜欢什么东西，要么一起玩，要么轮流玩，用不着吵架呀。"" 大女儿哭腔哭调控诉:""我们本来定好了轮流玩的，一人玩两次，上星期她玩了两次，这星期我才玩一次，她就说轮到她了!"" 不是脾性不好，而记性不好啊。  ",,无,无,无,2013-07-01 16:32,微博 weibo.com,3,4,8
zDYNhD96A,"老公有一门重要结业考试得知通过，迫不及待给我打电话，我也替他很高兴，一边祝贺他一边问他""晚上你想用什么庆祝，Sekt oder Sex(香槟或性，因德语发音特别接近，听起来朗朗上口)?"" 他一听就心花怒放，说""Sekt加Sex!"" 人生得意须尽性，莫使今宵空对月。  ",,无,无,无,2013-07-01 16:09,微博 weibo.com,7,2,3
zDYAeAoK1,"看电影New York I love you，里面有个情节，俩耄耋夫妻，在海边散步，老太太嫌老头走路拖沓，说""抬起你的脚。"" 老头不服气: ""我抬起来了!"" 俩人来回抬杠。我跟老公说""早晚有一天我会这样说..."" 接着我像没牙老太太那样瘪着嘴: ""抬起你的Penis! 你会说`我抬起来了!`"" 哈哈哈，把他给乐的。  ",,无,无,无,2013-07-01 15:37,微博 weibo.com,6,3,5
zDIBlqdbd,"网友给我写来一个例子，听孩子怎么看待那些自以为是的家长: ""朋友离婚不离家，两人偶尔在一起。前夫经常换一相对固定搭档，女方没结婚，说是为孩子。孩子大了，自己跟妈妈说，看着你们活得真累，并对爱情一点都不向往。""----别一天到晚把为了孩子挂在嘴上了，真为孩子好，先把自己折腾幸福吧!  ",,无,无,无,2013-06-29 22:56,微博 weibo.com,10,7,6
zDHbhDmD5,网友问: 毛毛姐，您也经历过小三，实在不懂为什么你对小三总是网开一面颇多同情，却对大奶极尽挑剔和鞭挞? 答: 那是因为我今天的一切，聪明活泼的女儿和体贴浪漫的丈夫，异国求学经历和他乡生活享受等等，丰富多样的人生阅历，全都拜托当年的小三啊。小三是大奶的贵人，全看你识不识相呀。  ,,无,无,无,2013-06-29 19:19,微博 weibo.com,17,14,14
zDGKDg2Ns,网友问: 如果你守着各方面条件都不如你，还管东管西的老公，你会如何做？离婚除外？答: 你说老公各方面都不如你，但我觉得他有一方面比你强，就是管制了一个各方面条件都比自己好的老婆，管东管西，她都不肯离婚。这本事你未必有，不信，你反过来管制一下老公，看他跑得有多快!  ,,无,无,无,2013-06-29 18:13,微博 weibo.com,6,12,6
zDx36zGLa,网友问: 你是不是觉得中国男人的不够大所以才找了个德国佬? 答: 男人的家伙就像女人的胸，大小无所谓，关键是够挺，我的意思是关键是有奶。其实，男人的手指和舌头就能让女人上天堂，只要他肯干! 问题不是家伙大小，而是观念新旧，中国男人要求妻子具有保姆功能圣母情怀，唯独不正视妻子的情欲。  ,,无,无,无,2013-06-28 17:31,微博 weibo.com,19,20,11
zDwRYBT5f,"德语里几个说法: 每个人都有自己的频率，找到同一频率的人，就不会有噪音; 化学反应对头，一切都对头; 每个锅都能找到合适的锅盖儿。用物理化学锅碗瓢盆生动形象，解释了中国的""缘分""俩字。缘分对了，每个人都能找到自己解药; 缘分错了，怎么折腾都像盖不严实的锅一样，令人泄气。  ",,无,无,无,2013-06-28 17:04,微博 weibo.com,14,15,6
zDwhmEyDa,写了一大顿，就是希望告诫那些找离婚人士，尤其是找离异男的没有经验的女孩子们，没有金刚钻别揽瓷器活，你首先要搞明白他离婚的根本原因(注意是根本，不是表面原因)，再对照自己是否有解药! 举个更显而易见的小例子，如果对方因吸烟而离婚，你就要想想自己是否不讨厌烟味，而不要梦想能让对方戒烟!  ,,无,无,无,2013-06-28 15:34,微博 weibo.com,16,4,6
zDw5Adrfa,当初老公向我求婚，我决定同意前，曾非常深入分析过我上次关系失败的原因，我承担的责任是，脾气暴躁喜怒无常，摔桌子打板凳，暴跳如雷破口大骂...当时我认为这是自己性格缺陷，所以提前跟他交待，早做定夺，分手趁早，以免将来后悔。结果老公说，我那是缺乏性爱，并非本性如此。  ,,无,无,无,2013-06-28 15:04,微博 weibo.com,12,16,13
zDvV3r50y,网友问: 请问毛毛姐，像那种因为女人出轨而离婚的男人（男人各方面都比女人强，据说之前是一时鬼迷心窍），是不是在下一段感情中会更有控制欲嫉妒心更强？这是否是一种难以痊愈的心理创伤？  ,,无,无,无,2013-06-28 14:39,微博 weibo.com,1,14,0
zDntD2nWz,网友说: 婚姻不等同于恋爱，主要是因婚姻包含了太多的关系要处理。恋爱只要处理男女关系，婚姻要处理亲子关系，婆媳关系，亲家关系，这些关系没处理好，天天被这些琐事累着，哪有心思男盗女娼啊？另一网友答: 如果夫妻都没心思男盗女娼了，还围着彼此的七大姑八大姨转什么转啊?  ,,无,无,无,2013-06-27 17:09,微博 weibo.com,3,7,2
zDmIdurqQ,很多网友让我多传授些婚内爱情保鲜的技巧，其实我和老公也没什么技巧，就是坚持谈恋爱，恋爱时怎么胡闹，婚后本色依然。婚姻与恋爱唯一不同的地方在于，谈恋爱时你们没有固定地方男盗女娼，结婚后你们有了固定地方男盗女娼。不管是租的还是买的，总之有个窝，供你们男盗女娼，只用来吃喝拉撒多浪费啊!  ,,无,无,无,2013-06-27 15:12,微博 weibo.com,11,31,3
zDfcj4OzZ,网友说: 女人遇上男人出轨，就应多给他戴几顶绿帽子，只不过我们很低调从不炫耀，他们变成树还以为自己占便宜。答: 据统计深圳女性出轨高于40%，很多男人为偷情找借口，赖老婆没性欲，令我担心中国性冷人数高于医学平均水平，现在看到女性出轨率这么高，我总算放心了，原来中国女人也不冷嘛。  ,,无,无,无,2013-06-26 20:04,微博 weibo.com,16,6,12
zDecO257S,我的心得体会，女孩子嘛，一定要尽早为自己外貌定位，找出优缺点，以次为出发点，决定穿衣着装甚至兴趣爱好的走向。比如，我小时候其实不是个热爱体育运动的女孩子，但长大后发现和人约会时，一起游泳打网球，更能体现自己的美，明显好过一起喝茶下象棋，于是改弦易辙，热爱体育运动了。  ,,无,无,无,2013-06-26 17:33,微博 weibo.com,19,25,8
zDe7wk5i5,很多女网友来信因外表不自信找理由，认为自己不漂亮，所以...，我想说，没几个人含着金钥匙出生，人家天生丽质的都难自弃，咱这天生不丽质的就更不能自暴自弃了，一定要想方设法夸大优点，掩盖缺点，谦虚使人进步这话，在折腾外表上，可是不管用呀。  ,,无,无,无,2013-06-26 17:20,微博 weibo.com,15,10,7
zDdSe7FWp,刚进入德国大学时，如何学专业还没搞懂，我先搞通了如何炼肌肉，第一学期就跑到大学健身房开练器械，一可健身，二可开荤，满眼货真价实四肢发达语言不通的肌肉男，挥汗如雨，激素四溅，整个健身房，荷尔蒙粘稠得令人喘不过气，让人头重脚轻。  ,,无,无,无,2013-06-26 16:42,微博 weibo.com,2,2,9
zDdGoosJE,"德语有个谚语，叫""出门开胃，回家吃饭""，是说在外面看到美女帅哥，情有所动，没关系，回家找老婆老公来去火。有次在莱比锡动物园黑猩猩馆，偶遇一帅哥，阳光明媚高大英俊，当时就把我看呆了，不错眼珠目送人走远，我老公说""要不要找个地方我给你灭灭火? 反正这里是黑猩猩馆，叫声再大也不会引起注意。""  ",,无,无,无,2013-06-26 16:13,微博 weibo.com,11,8,18
zD5CpuqTB,网友问: 某中年男，外遇不断。新婚时女方高于他，还嫌他不上进，婚后n年，发展不同步，男平步青云，女原地踏步，因此老婆很满意，经常跟人说婚姻就像抓阄，自己运气好，一抓就中了大奖。虽老公出轨，但她被蒙在鼓里不知情，夫妻关系即使不和谐，闹也闹不到点子上，从女人角度，他老婆算成功和幸福的吗?  ,,无,无,无,2013-06-25 19:41,微博 weibo.com,2,31,22
zD5smBSH8,人人都有当嫩鸟的时候，我第一次结婚嫁的就是一个懂得哪些女人有哪些利用价值的精明商人，把老婆当做生儿育女孝敬公婆的亲人，在外面寻找风情万种年轻貌美的情人，既能享受家庭稳固，又能不断更换情人，春风得意马蹄疾，一生看尽女人花! 没承想倒让我练出一眼看穿男人心的本领，扬(洋)鞭得意马蹄疾了。  ,,无,无,无,2013-06-25 19:16,微博 weibo.com,6,9,8
zD5eFEOKL,现在这年代，一上来就幸福的人没有，男女都是在互相磨练中成长的，别人看我现在挺幸福，实际上，那之前经历的男人海了去了，如果没有那些炮灰，我不可能对男人对家庭对婚姻对性爱这么有把握。人生经验，都是我年轻时枪林弹雨里拼出来的，不是躲在爱情象牙塔里琢磨出来的。  ,,无,无,无,2013-06-25 18:43,微博 weibo.com,21,16,19
zD4F0chx3,"我老公当初就跟我说过一句话，""看不惯你的人，都是不懂你不爱你的人，讨好他们而委屈自己，就像把珍珠扔进猪圈，你以为会讨好猪，结果还是被他们践踏，不如让那帮猪对着你叫吧。"" 我现在渐渐品出来，懂你或爱你的人，你根本不用去讨好，只要做自己，他们就接受你。  ",,无,无,无,2013-06-25 17:15,微博 weibo.com,31,49,7
zCWGO2Tno,丈夫对妻子的态度会影响妻子容貌及性格，这一点，没人比我更深有体会了。我第一次婚姻，从前夫嘴里听到最多的是:能干，贤惠，孝顺，虽然年纪轻轻，却越活越像中年妇女; 第二次婚姻，从老公嘴里听到最多的是:性感，聪明，幽默，虽然一把岁数，却越活越像青春少女，比啥化妆品都高效。  ,,无,无,无,2013-06-24 20:57,微博 weibo.com,27,40,18
zCWvUeRRe,网友问: 毛毛姐对于有孩子了就把生活重心转移到孩子身上这个问题怎么看？这里有两种情况，主动转移和被动转移，被动转移是指孩子事情特别多，劳心劳力，不得已慢慢生活被照顾孩子琐事包围，我想请教如何避免被动转移。谢谢毛毛姐。  ,,无,无,无,2013-06-24 20:30,微博 weibo.com,0,6,1
zCUXvBE7l,网友问: 如何避免婚恋疲惫期? 答: 很简单，就是永远不要忘记自己和对方的性别差异及需求，夫妻在一起时，第一是男女关系，其次是孩子爹妈。婚内没有男女关系，婚外就容易惹出男女关系。孩子跟着受罪，小三跟着垫背，归根结底，是你们夫妻俩男女关系不到位，却拿孩子做挡箭牌，拿小三做出气筒!  ,,无,无,无,2013-06-24 16:33,微博 weibo.com,9,24,13
zCTPaaZok,"我跟老公说:""我要保持身材，争取在女儿18岁时能跟她们穿同一个号码的服装..."" 话音未落，就见老公伏在地毯上开做俯卧撑，我说:""又没让你保持身材，你锻炼什么?"" 他说:""我得提供足够床上运动啊(Matratzesport)，不然你上哪保持身材去?""  ",,无,无,无,2013-06-24 13:40,微博 weibo.com,14,2,13
zCDRenPP4,我是个极端爱美的女人，从小被人嘲笑长得丑，变美成了我的终生大业。只不过，其她女人专注于对化妆品的选择，而我，更专注于对男人的选择，我这一生，留在谁身边，考虑的从来都是能否让自己变美，不是奉献牺牲情怀。坏的婚姻就像劣质化妆品，会败坏女人容颜，嫁错人等于化错妆，宁可素颜，别化错妆。  ,,无,无,无,2013-06-22 21:01,微博 weibo.com,50,61,22
zCCZpFBth,我有个好朋友，生了个儿子，在婆家身价水涨船高，过了没几年，两口子闹离婚，带着男孩再嫁，身价水落船低。她自嘲，早知如此，当年还不如生个女孩更好呢。这女人的身价呀，好像跟自身没多大关系，有关系的只是，处女膜，年龄，婚史，包括孩子的性别，都比你本人更重要似的。  ,,无,无,无,2013-06-22 18:48,微博 weibo.com,11,40,55
zCCEt2juy,网友问: 无意中看到老公和前女友出轨的聊天纪录，因两个孩子，一直没说，以你过来人身份看，怎么破？答: 据我估计前女友也不小了，肯定已结婚生子，见面出轨只是怀旧而已，不必当真。当真的是你们的夫妻关系，是否有什么不可调和的矛盾或交流上的障碍或进入婚恋疲劳期? 找准原因再对症下药，才是上策。  ,,无,无,无,2013-06-22 17:57,微博 weibo.com,6,12,5
zCCqbbcOR,分享自李银河  《黄色与绿色》 -    http://t.cn/zHrCUxi  我喜欢欧洲的原因很简单，通过照片我感觉，在绿树成荫的地方照相，我的皮肤显白; 在黄土飞尘的地方照相，我的皮肤显暗。我这人做什么选择都特简单，就是考虑自己是否更美，包括选择丈夫。  ,,无,无,无,2013-06-22 17:21,新浪博客,4,7,7
zCBAexx0k,我小时候巨瘦无比，尤其两条腿，又细又长，每次买裤子都成问题，够长的太肥，够瘦的太短，搞得我很自卑。有一次，某个熟人的熟人的熟人从美国回来，带回一条裤子，裤腿又瘦又长，死活没人能穿，辗转反侧到了我们家，刚好我能穿进这件在当年叫奇装异服的裤子，从那之后我就不自卑了，改为崇洋媚外了。  ,,无,无,无,2013-06-22 15:13,微博 weibo.com,6,15,14
zCuKjpFUv,婚姻的目的只不过是互相挠痒痒而已，男女只要找到那个挠对地方的人，做什么都心甘情愿，不觉委屈。凡是让人感到委屈的婚姻，都是因互相没挠对地方而双双不甘心的结果，此时有三条路可走: 1，自己想办法挠; 2，换人给你挠; 3，一辈子埋怨唠叨。绝大多数人选择走了第三条路，活活把婚姻的名声搞臭了。  ,,无,无,无,2013-06-21 21:49,微博 weibo.com,8,12,8
zCd2EmumP,东西方男人在考虑夫妻关系时有截然相反的两套逻辑，东方男人清楚女人嫁给自己后就在其他男人那里贬值了，这使得他们有种潜意识优越感(注意我说的是潜意识，不是有意识)。而西方男人恰恰相反，没有女人离婚掉价的世俗观念，这使得他们有种潜意识危机感，因此婚后仍保持着与其他男人竞争追求妻子的动力。  ,,无,无,无,2013-06-20 00:45,微博 weibo.com,12,22,14
zCaTvv3HL,我老公说，女人离婚等于放虎归山，为了增加后来征服者的难度，他要在婚内耍尽百宝，我若跟他离婚，再找到爱我的男人不难，难的是找到我爱的男人。我一听，恍然大悟，发现西方男人就是阴险，哪里像我前夫那么善良，不在婚内玩浪漫，好让我在婚外尽情爽，离婚后还能尽快找到幸福啊，呵呵。  ,,无,无,无,2013-06-19 19:17,微博 weibo.com,18,10,4
zC9DcxyK1,"跟老公敲边鼓""你们男人中年危机时最不安分，你要是胡闹，最好先想好了后果再行动..."" 我老公打断我说""我刚认识你时，你德语不好，不会开车，什么都不懂，这么多年过去，你早已不是当初那个你。背叛你就等于背叛我这么多年的心血，现在是我享受成果的时候，我才不会那么傻，白白让给其他男人呢。""  ",,无,无,无,2013-06-19 16:04,微博 weibo.com,22,12,19
zC1JkFQBn,网友问: 穷男一定就是凤凰男么? 答: 女人无法理解男人有钱就变坏，是因为，女人几乎无法体验到容貌大翻身之后要面临的环境考验。想象下，你的容貌一夜之间暴美，堪比范冰冰，赛过李冰冰，突然之间门可罗雀的你被各式各样高富帅追捧，被各式各样甜言蜜语打蒙，请扪心自问，你推牌重来的几率有多大?  ,,无,无,无,2013-06-18 19:57,微博 weibo.com,19,22,21
zBSFzCFlp,我发现女生年轻时不好看，只要有坚强的心理素质，中年时都不难看。因貌丑女生不受待见，受什么委屈都不往脸上摆(摆了又不会有人怜香惜玉，何必浪费那表情)，锻炼出很好的强颜欢笑的人生态度，不知不觉长出一副笑脸来。而美女则不同，肆意发泄喜怒哀乐，给人脸色看，稍不留神，中年就变苦瓜脸了。  ,,无,无,无,2013-06-17 20:53,微博 weibo.com,19,21,21
zBBj3EN60,我，一个普通女人，为了坚持男女平等的原则，吃尽了苦头，尝尽了失败，受尽了打击，但，我，敢于千山万水踏破铁鞋冒着人老珠黄的风险围着地球打转，也不愿苟延残喘在一段关系里纠结。比起那些有处女情结却禁不住诱惑，身陷非处女的温柔乡又愁肠百结的男人，我身体虽然千疮百孔，但精神要高贵一万倍!  ,,无,无,无,2013-06-16 00:41,微博 weibo.com,36,18,96
zBBd0o3cT,那些有处女情结的男人，和我这个没半分羞耻心的女人，我们都是平等的，没有谁比谁高尚，也没有谁比谁恶劣，只是，请那些有处女情结的男人，能够像我一样有毅力有决心，破除万难坚持到底，为自己的原则付出代价，宁死不从!!!! 稍微一被非处女诱惑就从了，然后又在心里不爽，这种男人，真没半分羞耻心。  ,,无,无,无,2013-06-16 00:26,微博 weibo.com,19,2,14
zBB9Qc21Q,男网友来信，与女友很相爱但因处女情结无法释怀，希望我骂醒他。答: 处女情结不是错，不必挨骂。只是你要有毅力有决心，破除万难坚持到底找到处女，万不可半途而废懊恼终生。请迅速跟她分手，你有权利找处女，她有权利找不介意她历史的男人，你们都有权利找幸福，没义务找别扭！  ,,无,无,无,2013-06-16 00:18,微博 weibo.com,37,39,19
zBAZVzDBz,男网友问: 请教林姐姐面对坚守处女阵地新婚夜才可以的女生怎么办？答: 请尊重对方，也尊重自己，去找一个同类来爱吧。鸡兔不同笼，猪鸭不同窝，你早晚会懂得，遇见那个跟你同步的人，对这一生，是多么多么重要!  ,,无,无,无,2013-06-15 23:54,微博 weibo.com,15,2,2
